game_id,block_id,phase,player_id,team_id_opta,signal_name,signal_value,n_frames,median_latency,failure_rate,n_events,n_failures
2215781,1_0,1,83912,146,tired_mans_intercept,0.956,172500,0.0,0.5091,55,28
2215781,1_1,1,83912,146,tired_mans_intercept,0.388,172500,0.0,0.5556,72,40
2215781,1_2,1,83912,146,tired_mans_intercept,3.637,172500,0.4,0.566,53,30
2215781,1_3,1,83912,146,tired_mans_intercept,3.592,172500,1.36,0.5349,43,23
2215781,1_4,1,83912,146,tired_mans_intercept,3.245,172500,0.5,0.6,55,33
2215781,1_5,1,83912,146,tired_mans_intercept,0.99,172500,0.0,0.5,46,23
2215781,1_6,1,83912,146,tired_mans_intercept,2.386,172500,0.34,0.7255,51,37
2215781,1_7,1,83912,146,tired_mans_intercept,4.337,172500,0.24,0.3846,39,15
2215781,1_8,1,83912,146,tired_mans_intercept,1.941,172500,0.0,0.4571,35,16
2215781,1_9,1,83912,146,tired_mans_intercept,3.72,3242,3.72,0.0,1,0
2215781,2_0,2,83912,146,tired_mans_intercept,2.04,172500,0.0,0.4444,36,16
2215781,2_1,2,83912,146,tired_mans_intercept,1.035,172500,0.0,0.4918,61,30
2215781,2_2,2,83912,146,tired_mans_intercept,2.048,172500,0.0,0.4737,38,18
2215781,2_3,2,83912,146,tired_mans_intercept,12.342,172500,0.0,0.6087,23,14
2215781,2_4,2,83912,146,tired_mans_intercept,1.186,172496,0.0,0.4186,43,18
2215781,2_5,2,83912,146,tired_mans_intercept,1.692,172500,0.0,0.52,50,26
2215781,2_6,2,83912,146,tired_mans_intercept,2.768,172500,0.32,0.5161,31,16
2215781,2_7,2,83912,146,tired_mans_intercept,6.72,172498,2.28,0.5714,21,12
2215781,2_3,2,85370,146,tired_mans_intercept,2.864,172500,0.0,0.375,16,6
2215781,2_4,2,85370,146,tired_mans_intercept,0.767,172496,0.0,0.3778,45,17
2215781,2_5,2,85370,146,tired_mans_intercept,3.293,172500,0.56,0.5625,48,27
2215781,2_6,2,85370,146,tired_mans_intercept,0.722,172500,0.0,0.5111,45,23
2215781,2_7,2,85370,146,tired_mans_intercept,1.13,172498,0.0,0.6,40,24
2215781,2_8,2,85370,146,tired_mans_intercept,1.622,172500,0.56,0.35,40,14
2215781,2_9,2,85370,146,tired_mans_intercept,1.076,106098,0.0,0.6207,29,18
2215781,1_0,1,115327,146,tired_mans_intercept,2.181,172500,0.68,0.4444,27,12
2215781,1_1,1,115327,146,tired_mans_intercept,5.552,172500,1.42,0.5833,24,14
2215781,1_2,1,115327,146,tired_mans_intercept,3.827,172500,1.48,0.6087,23,14
2215781,1_3,1,115327,146,tired_mans_intercept,3.151,172500,2.0,0.4857,35,17
2215781,1_4,1,115327,146,tired_mans_intercept,3.542,172500,1.12,0.4074,27,11
2215781,1_5,1,115327,146,tired_mans_intercept,1.177,172500,0.0,0.2632,19,5
2215781,1_6,1,115327,146,tired_mans_intercept,1.963,172500,0.0,0.5429,35,19
2215781,1_7,1,115327,146,tired_mans_intercept,2.415,172500,0.44,0.4865,37,18
2215781,1_8,1,115327,146,tired_mans_intercept,3.571,172500,1.32,0.5333,30,16
2215781,2_0,2,115327,146,tired_mans_intercept,1.682,172500,0.1,0.3143,35,11
2215781,2_1,2,115327,146,tired_mans_intercept,4.142,172500,0.3,0.1852,27,5
2215781,2_2,2,115327,146,tired_mans_intercept,1.086,172500,0.0,0.5,38,19
2215781,2_3,2,115327,146,tired_mans_intercept,1.916,172500,0.0,0.375,32,12
2215781,2_4,2,115327,146,tired_mans_intercept,1.962,172496,0.0,0.3902,41,16
2215781,2_5,2,115327,146,tired_mans_intercept,2.059,172500,0.0,0.4333,30,13
2215781,2_6,2,115327,146,tired_mans_intercept,4.195,172500,1.28,0.5455,33,18
2215781,2_7,2,115327,146,tired_mans_intercept,0.797,172498,0.0,0.4643,28,13
2215781,2_8,2,115327,146,tired_mans_intercept,1.31,172500,0.0,0.3415,41,14
2215781,2_9,2,115327,146,tired_mans_intercept,0.793,106098,0.0,0.4762,21,10
2215781,1_0,1,154310,146,tired_mans_intercept,1.339,172500,0.0,0.5278,36,19
2215781,1_1,1,154310,146,tired_mans_intercept,1.998,172500,0.82,0.7037,54,38
2215781,1_2,1,154310,146,tired_mans_intercept,3.391,172500,0.0,0.3659,41,15
2215781,1_3,1,154310,146,tired_mans_intercept,2.259,172500,0.6,0.4318,44,19
2215781,1_4,1,154310,146,tired_mans_intercept,1.937,172500,1.0,0.3824,34,13
2215781,1_5,1,154310,146,tired_mans_intercept,1.257,172500,0.0,0.4839,31,15
2215781,1_6,1,154310,146,tired_mans_intercept,1.191,172500,0.0,0.6,45,27
2215781,1_7,1,154310,146,tired_mans_intercept,1.213,172500,0.0,0.5098,51,26
2215781,1_8,1,154310,146,tired_mans_intercept,1.374,172500,0.0,0.5833,48,28
2215781,1_9,1,154310,146,tired_mans_intercept,0.0,3242,0.0,0.0,1,0
2215781,2_0,2,154310,146,tired_mans_intercept,1.789,172500,0.2,0.3409,44,15
2215781,2_1,2,154310,146,tired_mans_intercept,2.379,172500,0.0,0.5192,52,27
